source,target,value
Mod_dptools,Mod_erlang_event,1
Mod_dptools,Mod_spandsp,1
Mod_dptools,Limit,1
Mod_dptools,Misc._Dialplan_Tools_session_loglevel,1
Mod_dptools,Misc._Dialplan_Tools_mutex,1
Mod_dptools,Misc._Dialplan_Tools_redirect,1
Mod_dptools,Misc._Dialplan_Tools_soft_hold,1
Mod_dptools,Misc._Dialplan_Tools_event,1
Mod_dptools,Mod_voicemail,1
Mod_dptools,Misc._Dialplan_Tools_sleep,1
Mod_dptools,Misc._Dialplan_Tools_sound_test,1
Mod_dptools,Misc._Dialplan_Tools_gentones,1
Jitterbuffer,PLC,1
Custom_Ring_Back_Tones,TGML,1
Mod_xml_curl,Mod_xml_curl_Ramaze/Sequel_groups_example,1
Mod_xml_curl,Channel_Variables,1
Mod_xml_curl,Mod_xml_curl_Ruby_dialplan_example,1
Mod_xml_curl,Freeswitch.xml,1
Mod_xml_curl,Mod_xml_curl_CGI_example,1
Mod_xml_curl,Sofia_Configuration_Files,1
Mod_xml_curl,Mod_xml_curl_Python_example,1
Mod_xml_curl,Mod_voicemail,1
Mod_xml_curl,Mod_lua/Serving_Configuration,1
Mod_xml_curl,Event_List,1
Mod_xml_curl,Dialplan,1
Mod_xml_curl,Mod_xml_curl_Ruby_directory_example,1
Mod_xml_curl,XML_User_Directory_Guide,1
Mod_xml_curl,Sofia,1
Mod_xml_curl,Modules.conf.xml,1
Mod_xml_curl,Mod_xml_curl_PHP_example,1
Mod_xml_curl,Mod_xml_curl_C_sharp_example,1
Mod_xml_curl,Speech_Phrase_Management,1
Mod_xml_curl,Mod_xml_curl_C%2B%2B_Example,1
Event_Socket,Perl_event_socket_client,1
Event_Socket,Acl.conf.xml,1
Event_Socket,Event_Socket_Outbound,1
Event_Socket,Mod_commands,1
Event_Socket,XML_User_Directory_Guide,1
Event_Socket,Event_socket.conf.xml,1
Event_Socket,Java_ESL,1
Event_Socket,Email2callback,1
Event_Socket,Mod_event_socket,1
Event_Socket,Hangup_Causes,1
Event_Socket,Event_Socket_Library,1
Event_Socket,PHP_Event_Socket,1
Event_Socket,Event_List,1
Event_Socket,Debugging_Event_Socket_Message,1
Event_Socket,Event_List,1
Mod_xml_cdr,Example_XML_CDR,1
Documentation/Developer_Documentation,Developer_Tips,1
Documentation/Developer_Documentation,Developer_Potpourri,1
Documentation/Developer_Documentation,Coding_Guidelines,1
Documentation/Developer_Documentation,Embedding_FreeSWITCH,1
Documentation/Developer_Documentation,Debugging_Freeswitch,1
Documentation/Developer_Documentation,Zapata_zaptel_interface,1
Documentation/Developer_Documentation,Core_Outline_of_FreeSWITCH,1
Documentation/Developer_Documentation,Freeswitch_XML-RPC,1
Documentation/Developer_Documentation,Submitting_Patches,1
Documentation/Developer_Documentation,FreeSwitch_Dependencies,1
Documentation/Developer_Documentation,Authoring_Freeswitch_Modules,1
Documentation/Developer_Documentation,Creating_a_new_Abstraction_Interface,1
FreeTDM,FreeTDM_OpenR2,1
FreeTDM,Freetdm.conf_Examples,1
FreeTDM,Tones.conf_Examples,1
Freeswitch_XML-RPC,Features,1
Freeswitch_XML-RPC,Mod_xml_rpc,1
Freeswitch_XML-RPC,Documentation/Developer_Documentation,1
Mod_xml_curl_PHP_example,Mod_xml_curl,1
Multiple_Servers_in_Irssi,IRC,1
API_sofia_count_reg,Mod_sofia,1
FsAir,Mod_portaudio,1
FsAir,Mod_event_socket,1
Mod_file_string,Misc._Dialplan_Tools_play_and_get_digits,1
Mod_file_string,Mod_dptools,1
Mod_lua/Serving_Configuration,Mod_lua/Example_dialplan,1
Mod_lua/Serving_Configuration,Mod_xml_curl,1
